ก.	k @@ 
สนองตอบ	s a n @@ ng^ t @@ p^ 
สนับสนุน	s a n a p^ s a n u n^ 
สนั่น	s a n a n^ 
สนาม	s a n aa m^ 
สนามรบ	s a n aa m^ r o p^ 
สนิท	s a n i t^ 
สนิทสนม	s a n i t^ s a n o m^ 
สนุก	s a n u k^ 
สนุกสนาน	s a n u k^ s a n aa n^ 
สนเทศ	s o n^ th ee t^ 
สนใจ	s o n^ c a j^ 
สบถ	s a b o t^ 
สบาย	s a b aa j^ 
สบายใจ	s a b aa j^ c a j^ 
สภา	s a ph aa 
สภาพ	s a ph aa p^ 
สภาพการณ์	s a ph aa p^ k aa n^ 
สภาพแวดล้อม	s a ph aa p^ w xx t^ l @@ m^ 
สภาวการณ์	s a ph aa w a k aa n^ 
สภาวะ	s a ph aa w a 
สม	s o m^ 
สมควร	s o m^ kh uua n^ 
สมจริง	s o m^ c i ng^ 
สมชัย	s o m^ ch a j^ 
สมณศักดิ์	s a m a n a s a k^ 
สมดุล	s o m^ d u n^ 
สมดุลยภาพ	s o m^ d u n^ j a ph aa p^ 
สมดุลย์	s o m^ d u n^ 
สมถะ	s a m a th a 
สมทบ	s o m^ th o p^ 
สมบัติ	s o m^ b a t^ 
สมบูรณาญาสิทธิราชย์	s o m^ b uu r a n aa j aa s i t^ th i r aa t^ 
สมบูรณ์	s o m^ b uu n^ 
สมประกอบ	s o m^ pr a k @@ p^ 
สมภาร	s o m^ ph aa n^ 
สมมุติ	s o m^ m u t^ 
สมรรถนะ	s a m a t^ th a n a 
สมรรถภาพ	s a m a t^ th a ph aa p^ 
สมรส	s o m^ r o t^ 
สมศรี	s o m^ s ii 
สมอง	s a m @@ ng^ 
สมอเรียง	s a m @@ r iia ng^ 
สมัคร	s a m a k^ 
สมัครใจ	s a m a k^ c a j^ 
สมัย	s a m a j^ 
สมัยก่อน	s a m a j^ k @@ n^ 
สมาคม	s a m aa kh o m^ 
สมาชิก	s a m aa ch i k^ 
สมาชิกภาพ	s a m aa ch i k^ k a ph aa p^ 
สมาธิ	s a m aa th i 
สมาน	s a m aa n^ 
สมุด	s a m u t^ 
สมุน	s a m u n^ 
สมุย	s a m u j^ 
สมเด็จ	s o m^ d e t^ 
สมเหตุสมผล	s o m^ h ee t^ s o m^ ph o n^ 
สม่ำเสมอ	s a m a m^ s a m qq 
สยาม	s a j aa m^ 
สรง	s o ng^ 
สรงน้ำ	s o ng^ n aa m^ 
สรณะ	s a r a n a 
สรรค์	s a n^ 
สรรพสิ่ง	s a p^ ph a s i ng^ 
สรรหา	s a n^ h aa 
สระ	s a r a 
สรีระ	s a r ii r a 
สรุป	s a r u p^ 
สรุป	s a r u p^ 
สร้าง	s aa ng^ 
สร้างสม	s aa ng^ s o m^ 
สร้างสรรค์	s aa ng^ s a n^ 
สฤษดิ์	s a r i t^ 
สละ	s a l a 
สลักสำคัญ	s a l a k^ s a m^ kh a n^ 
สลับ	s a l a p^ 
สลับ	s a l a p^ 
สลัม	s a l a m^ 
สลาย	s a l aa j^ 
สวน	s uua n^ 
สวนทาง	s uua n^ th aa ng^ 
สวย	s uua j^ 
สวยงาม	s uua j^ ng aa m^ 
สวรรค์	s a w a n^ 
สวัสดิการ	s a w a t^ d i k aa n^ 
สวัสดิภาพ	s a w a t^ d i ph aa p^ 
สวัสดิ์	s a w a t^ 
สวีเดน	s a w ii d e n^ 
สว่าง	s a w aa ng^ 
สหกรณ์	s a h a k @@ n^ 
สหประชาชาติ	s a h a pr a ch aa ch aa t^ 
สหพันธ์	s a h a ph a n^ 
สหภาพ	s a h a ph aa p^ 
สหภาพโซเวียต	s a h a ph aa p^ s oo w iia t^ 
สหรัฐ	s a h a r a t^ 
สหรัฐอเมริกา	s a h a r a t^ z a m ee r i k aa 
สหวิทยาลัย	s a h a w i t^ th a j aa l a j^ 
สหอาชีวะ	s a h a z aa ch ii w a 
สอง	s @@ ng^ 
สอดคล้อง	s @@ t^ khl @@ ng^ 
สอดส่อง	s @@ t^ s @@ ng^ 
สอดแทรก	s @@ t^ s xx k^ 
สอน	s @@ n^ 
สอบ	s @@ p^ 
สอบถาม	s @@ p^ th aa m^ 
สอบสวน	s @@ p^ s uua n^ 
สอบไล่	s @@ p^ l a j^ 
สะกด	s a k o t^ 
สะดวก	s a d uua k^ 
สะดุด	s a d u t^ 
สะท้อน	s a th @@ n^ 
สะบั้น	s a b a n^ 
สะสม	s a s o m^ 
สะสาง	s a s aa ng^ 
สะอาด	s a z aa t^ 
สะเทือน	s a th vva n^ 
สัก	s a k^ 
สังกัด	s a ng^ k a t^ 
สังคม	s a ng^ kh o m^ 
สังคมนิยม	s a ng^ kh o m^ n i j o m^ 
สังคมวิทยา	s a ng^ kh o m^ w i t^ th a j aa 
สังคมศาสตร์	s a ng^ kh o m^ s aa t^ 
สังฆาธิการ	s a ng^ kh aa th i k aa n^ 
สังสรรค์	s a ng^ s a n^ 
สังหาร	s a ng^ h aa n^ 
สังเกต	s a ng^ k ee t^ 
สังเกตการณ์	s a ng^ k ee t^ k aa n^ 
สังเขป	s a ng^ kh ee p^ 
สังเคราะห์	s a ng^ khr @ 
สัจจะ	s a t^ c a 
สัจธรรม	s a t^ c a th a m^ 
สัญจร	s a n^ c @@ n^ 
สัญชาตญาณ	s a n^ ch aa t^ t a j aa n^ 
สัญญา	s a n^ j aa 
สัญลักษณ์	s a n^ j a l a k^ 
สัณฐาน	s a n^ th aa n^ 
สัดส่วน	s a t^ s uua n^ 
สัตย์	s a t^ 
สัตว์	s a t^ 
สัตว์น้ำ	s a t^ n aa m^ 
สัตว์ป่า	s a t^ p aa 
สันดาน	s a n^ d aa n^ 
สันติ	s a n^ t i 
สันติภาพ	s a n^ t i ph aa p^ 
สันนิษฐาน	s a n^ n i t^ th aa n^ 
สันสกฤต	s a n^ s a kr i t^ 
สันโดษ	s a n^ d oo t^ 
สับสน	s a p^ s o n^ 
สัปดาห์	s a p^ d aa 
สัมปทาน	s a m^ p a th aa n^ 
สัมผัส	s a m^ ph a t^ 
สัมพันธภาพ	s a m^ ph a n^ th a ph aa p^ 
สัมพันธมิตร	s a m^ ph a n^ th a m i t^ 
สัมพันธ์	s a m^ ph a n^ 
สัมภาษณ์	s a m^ ph aa t^ 
สัมมนา	s a m^ m a n aa 
สัมมา	s a m^ m aa 
สัมฤทธิผล	s a m^ r i t^ ph o n^ 
สัมฤทธิ์	s a m^ r i t^ 
สัมโพธิญาณ	s a m^ ph oo th i j aa n^ 
สั่ง	s a ng^ 
สั่งสม	s a ng^ s o m^ 
สั่งสอน	s a ng^ s @@ n^ 
สั่น	s a n^ 
สั้น	s a n^ 
สาก	s aa k^ 
สากล	s aa k o n^ 
สาขา	s aa kh aa 
สาด	s aa t^ 
สาธารณชน	s aa th aa r a n a ch o n^ 
สาธารณประโยชน์	s aa th aa r a n a pr a j oo t^ 
สาธารณรัฐ	s aa th aa r a n a r a t^ 
สาธารณสุข	s aa th aa r a n a s u k^ 
สาธารณะ	s aa th aa r a n a 
สาธารณูปโภค	s aa th aa r a n uu p a ph oo k^ 
สาม	s aa m^ 
สามนต์	s aa m o n^ 
สามัคคี	s aa m a k^ kh ii 
สามัญ	s aa m a n^ 
สามัญชน	s aa m a n^ ch o n^ 
สามารถ	s aa m aa t^ 
สามี	s aa m ii 
สามเณร	s aa m^ m a n ee n^ 
สาย	s aa j^ 
สายตา	s aa j^ t aa 
สายลม	s aa j^ l o m^ 
สาร	s aa n^ 
สารคดี	s aa r a kh a d ii 
สารพิษ	s aa n^ ph i t^ 
สารวัตร	s aa r a w a t^ 
สารสนเทศ	s aa r a s o n^ th ee t^ 
สาระ	s aa r a 
สารเคมี	s aa n^ kh ee m ii 
สาว	s aa w^ 
สาวก	s aa w o k^ 
สาหัส	s aa h a t^ 
สาเหตุ	s aa h ee t^ 
สำคัญ	s a m^ kh a n^ 
สำนวน	s a m^ n uua n^ 
สำนัก	s a m^ n a k^ 
สำนักงาน	s a m^ n a k^ ng aa n^ 
สำนักพิมพ์	s a m^ n a k^ ph i m^ 
สำนึก	s a m^ n v k^ 
สำรวจ	s a m^ r uua t^ 
สำราญ	s a m^ r aa n^ 
สำริด	s a m^ r i t^ 
สำหรับ	s a m^ r a p^ 
สำเริง	s a m^ r qq ng^ 
สำเร็จ	s a m^ r e t^ 
สำเร็จรูป	s a m^ r e t^ r uu p^ 
สำแดง	s a m^ d xx ng^ 
สิ	s i 
สิงหาคม	s i ng^ h aa kh o m^ 
สิงห์	s i ng^ 
สิทธิ	s i t^ 
สิทธิ	s i t^ th i 
สิทธิ์	s i t^ 
สิทธิ์ขาด	s i t^ kh aa t^ 
สินค้า	s i n^ kh aa 
สินทรัพย์	s i n^ s a p^ 
สินเชื่อ	s i n^ ch vva 
สิบ	s i p^ 
สิริกิติ์	s i r i k i t^ 
สิริสัมพันธ์	s i r i s a m^ ph a n^ 
สิ่ง	s i ng^ 
สิ่งของ	s i ng^ kh @@ ng^ 
สิ่งทอ	s i ng^ th @@ 
สิ่งมีชีวิต	s i ng^ m ii ch ii w i t^ 
สิ่งแวดล้อม	s i ng^ w xx t^ l @@ m^ 
สิ่งใด	s i ng^ d a j^ 
สิ้น	s i n^ 
สิ้นสุด	s i n^ s u t^ 
สิ้นหวัง	s i n^ w a ng^ 
สิ้นเชิง	s i n^ ch qq ng^ 
สิ้นเนื้อประดาตัว	s i n^ n vva pr a d aa t uua 
สิ้นเปลือง	s i n^ pl vva ng^ 
สิ้นใจ	s i n^ c a j^ 
สี	s ii 
สี่	s ii 
สี่เหลี่ยม	s ii l iia m^ 
สึก	s v k^ 
สืบ	s vv p^ 
สืบต่อ	s vv p^ t @@ 
สืบทอด	s vv p^ th @@ t^ 
สืบพันธุ์	s vv p^ ph a n^ 
สืบสวน	s vv p^ s uua n^ 
สืบเนื่อง	s vv p^ n vva ng^ 
สื่อ	s vv 
สื่อกลาง	s vv kl aa ng^ 
สื่อมวลชน	s vv m uua n^ ch o n^ 
สื่อสาร	s vv s aa n^ 
สุกเอาเผากิน	s u k^ z a w^ ph a w^ k i n^ 
สุข	s u k^ 
สุขภาพ	s u k^ kh a ph aa p^ 
สุขภาพจิต	s u k^ kh a ph aa p^ c i t^ 
สุขศึกษา	s u k^ kh a s v k^ s aa 
สุขสบาย	s u k^ s a b aa j^ 
สุขเวทนา	s u k^ kh a w ee th a n aa 
สุขใจ	s u k^ c a j^ 
สุคนธ์	s u kh o n^ 
สุจริต	s u t^ c a r i t^ 
สุจินดา	s u c i n^ d aa 
สุด	s u t^ 
สุดขีด	s u t^ kh ii t^ 
สุดท้อง	s u t^ th @@ ng^ 
สุดท้าย	s u t^ th aa j^ 
สุดยอด	s u t^ j @@ t^ 
สุดวิสัย	s u t^ w i s a j^ 
สุธี	s u th ii 
สุนทร	s u n^ th @@ n^ 
สุนทรภู่	s u n^ th @@ n^ ph uu 
สุนทราภรณ์	s u n^ th a r aa ph @@ n^ 
สุนทรียภาพ	s u n^ th a r ii j a ph aa p^ 
สุนทรเวช	s u n^ th @@ r a w ee t^ 
สุนัข	s u n a k^ 
สุนีย์	s u n ii 
สุพรรณ	s u ph a n^ 
สุภาพ	s u ph aa p^ 
สุรา	s u r aa 
สุเทพ	s u th ee p^ 
สุโขทัย	s u kh oo th a j^ 
สุ่ม	s u m^ 
สูง	s uu ng^ 
สูงสุด	s uu ng^ s u t^ 
สูงส่ง	s uu ng^ s o ng^ 
สูงอายุ	s uu ng^ z aa j u 
สูญ	s uu n^ 
สูญพันธุ์	s uu n^ ph a n^ 
สูญหาย	s uu n^ h aa j^ 
สูญเปล่า	s uu n^ pl aa w^ 
สูญเสีย	s uu n^ s iia 
สูบ	s uu p^ 
สู่	s uu 
สู้	s uu 
สเมอร์ดิยาคอฟ	s a m qq d i j aa kh @@ p^ 
สโมสร	s a m oo s @@ n^ 
ส่ง	s o ng^ 
ส่งออก	s o ng^ z @@ k^ 
ส่งเสริม	s o ng^ s qq m^ 
ส่งเสีย	s o ng^ s iia 
ส่วน	s uua n^ 
ส่วนกลาง	s uua n^ kl aa ng^ 
ส่วนช่วย	s uua n^ ch uua j^ 
ส่วนตัว	s uua n^ t uua 
ส่วนน้อย	s uua n^ n @@ j^ 
ส่วนประกอบ	s uua n^ pr a k @@ p^ 
ส่วนมาก	s uua n^ m aa k^ 
ส่วนย่อย	s uua n^ j @ j^ 
ส่วนรวม	s uua n^ r uua m^ 
ส่วนร่วม	s uua n^ r uua m^ 
ส่วนหนึ่ง	s uua n^ n v ng^ 
ส่วนเสีย	s uua n^ s iia 
ส่วนใหญ่	s uua n^ j a j^ 
ส่วนได้	s uua n^ d aa j^ 
ส่วย	s uua j^ 
ส่อ	s @@ 
ส่อง	s @ ng^ 
หก	h o k^ 
หงุดหงิด	ng u t^ ng i t^ 
หญิง	j i ng^ 
หดหาย	h o t^ h aa j^ 
หน	h o n^ 
หนทาง	h o n^ th aa ng^ 
หนอง	n @@ ng^ 
หนัก	n a k^ 
หนักหน่วง	n a k^ n uua ng^ 
หนักใจ	n a k^ c a j^ 
หนัง	n a ng^ 
หนังสือ	n a ng^ s vv 
หนังสือพิมพ์	n a ng^ s vv ph i m^ 
หนาม	n aa m^ 
หนาว	n aa w^ 
หนาแน่น	n aa n x n^ 
หนี	n ii 
หนี้	n ii 
หนึ่ง	n v ng^ 
หนุน	n u n^ 
หนุ่ม	n u m^ 
หนู	n uu 
หน่วย	n uua j^ 
หน่วยงาน	n uua j^ ng aa n^ 
หน่อย	n @ j^ 
หน้า	n aa 
หน้าตา	n aa t aa 
หน้าที่	n aa th ii 
หน้ามืด	n aa m vv t^ 
หน้าไหว้หลังหลอก	n aa w a j^ l a ng^ l @@ k^ 
หมด	m o t^ 
หมวด	m uua t^ 
หมอ	m @@ 
หมอนวด	m @@ n uua t^ 
หมัก	m a k^ 
หมัน	m a n^ 
หมา	m aa 
หมาด	m aa t^ 
หมาย	m aa j^ 
หมายความ	m aa j^ khw aa m^ 
หมายจับ	m aa j^ c a p^ 
หมายถึง	m aa j^ th v ng^ 
หมายเลข	m aa j^ l ee k^ 
หมื่น	m vv n^ 
หมุน	m u n^ 
หมุนเวียน	m u n^ w iia n^ 
หมู	m uu 
หมู่	m uu 
หมู่บ้าน	m uu b aa n^ 
หมู่เกาะ	m uu k @ 
หม่อมราชวงศ์	m @ m^ r aa t^ ch a w o ng^ 
หม้อ	m @@ 
หยั่งเสียง	j a ng^ s iia ng^ 
หยิบ	j i p^ 
หยิบยก	j i p^ j o k^ 
หยิ่ง	j i ng^ 
หยุด	j u t^ 
หยุดนิ่ง	j u t^ n i ng^ 
หยุดยั้ง	j u t^ j a ng^ 
หย่อน	j @ n^ 
หย่อนยาน	j @ n^ j aa n^ 
หย่อนใจ	j @ n^ c a j^ 
หย่า	j aa 
หย่าร้าง	j aa r aa ng^ 
หรอก	r @@ k^ 
หรือ	r vv 
หรือยัง	r vv j a ng^ 
หรือเปล่า	r vv pl aa w^ 
หรูหรา	r uu r aa 
หลง	l o ng^ 
หลงเหลือ	l o ng^ l vva 
หลบ	l o p^ 
หลบหนี	l o p^ n ii 
หลบหลีก	l o p^ l ii k^ 
หลวง	l uua ng^ 
หลวม	l uua m^ 
หลอก	l @@ k^ 
หลอกลวง	l @@ k^ l uua ng^ 
หลอม	l @@ m^ 
หลัก	l a k^ 
หลักการ	l a k^ k aa n^ 
หลักฐาน	l a k^ th aa n^ 
หลักทรัพย์	l a k^ s a p^ 
หลักธรรม	l a k^ th a m^ 
หลักสูตร	l a k^ s uu t^ 
หลักเกณฑ์	l a k^ k ee n^ 
หลัง	l a ng^ 
หลังจาก	l a ng^ c aa k^ 
หลับ	l a p^ 
หลับนอน	l a p^ n @@ n^ 
หลั่งไหล	l a ng^ l a j^ 
หลากหลาย	l aa k^ l aa j^ 
หลาน	l aa n^ 
หลาย	l aa j^ 
หลีก	l ii k^ 
หลีกภัย	l ii k^ ph a j^ 
หลีกหนี	l ii k^ n ii 
หลีกเลี่ยง	l ii k^ l iia ng^ 
หลุด	l u t^ 
หลุดพ้น	l u t^ ph o n^ 
หล่อ	l @@ 
หวง	h uua ng^ 
หวงแหน	h uua ng^ h xx n^ 
หวน	h uua n^ 
หวัง	w a ng^ 
หวั่นกลัว	w a n^ kl uua 
หวั่นไหว	w a n^ w a j^ 
หวาดกลัว	w aa t^ kl uua 
หวาดระแวง	w aa t^ r a w xx ng^ 
หวาน	w aa n^ 
หอ	h @@ 
หอการค้า	h @@ k aa n^ kh aa 
หอม	h @@ m^ 
หักล้าง	h a k^ l aa ng^ 
หัตถกรรม	h a t^ th a k a m^ 
หัน	h a n^ 
หันเห	h a n^ h ee 
หัว	h uua 
หัวข้อ	h uua kh @@ 
หัวคะแนน	h uua kh a n xx n^ 
หัวปี	h uua p ii 
หัวรบ	h uua r o p^ 
หัวรุนแรง	h uua r u n^ r xx ng^ 
หัวหน้า	h uua n aa 
หัวเมือง	h uua m vva ng^ 
หัวเราะ	h uua r @ 
หัวเลี้ยวหัวต่อ	h uua l iia w^ h uua t @@ 
หัวใจ	h uua c a j^ 
หา	h aa 
หาก	h aa k^ 
หากแต่	h aa k^ t xx 
หาดใหญ่	h aa t^ j a j^ 
หาทาง	h aa th aa ng^ 
หาย	h aa j^ 
หายนะ	h aa j^ j a n a 
หายใจ	h aa j^ c a j^ 
หารือ	h aa r vv 
หาว่า	h aa w aa 
หาเสียง	h aa s iia ng^ 
หาไม่	h aa m a j^ 
หิน	h i n^ 
หิว	h i w^ 
หิวโหย	h i w^ h oo j^ 
หึ	h v 
หุ้น	h u n^ 
หุ้ม	h u m^ 
หู	h uu 
หูตึง	h uu t v ng^ 
ห่วงใย	h uua ng^ j a j^ 
ห่าง	h aa ng^ 
ห่างเหิน	h aa ng^ h qq n^ 
ห่างไกล	h aa ng^ kl a j^ 
ห้วยขาแข้ง	h uua j^ kh aa kh x ng^ 
ห้อง	h @ ng^ 
ห้องนอน	h @ ng^ n @@ n^ 
ห้องน้ำ	h @ ng^ n aa m^ 
ห้องสมุด	h @ ng^ s a m u t^ 
ห้องเรียน	h @ ng^ r iia n^ 
ห้า	h aa 
ห้าม	h aa m^ 
อคติ	z a kh a t i 
องคภาวะ	z o ng^ kh a ph aa w a 
องค์	z o ng^ 
องค์กร	z o ng^ k @@ n^ 
องค์การ	z o ng^ k aa n^ 
องค์ประกอบ	z o ng^ pr a k @@ p^ 
อด	z o t^ 
อดกลั้น	z o t^ kl a n^ 
อดทน	z o t^ th o n^ 
อดอยาก	z o t^ j aa k^ 
อดิเรกสาร	z a d i r ee k^ s aa n^ 
อดีต	z a d ii t^ 
อธิการบดี	z a th i k aa n^ b @@ d ii 
อธิบดี	z a th i p^ b @@ d ii 
อธิบาย	z a th i b aa j^ 
อธิปัตย์	z a th i p a t^ 
อธิปไตย	z a th i p^ p a t a j^ 
อธิษฐาน	z a th i t^ th aa n^ 
อนัตตา	z a n a t^ t aa 
อนาคต	z a n aa kh o t^ 
อนามัย	z a n aa m a j^ 
อนิจจัง	z a n i t^ c a ng^ 
อนึ่ง	z a n v ng^ 
อนุญาต	z a n u j aa t^ 
อนุบาล	z a n u b aa n^ 
อนุพากย์	z a n u ph aa k^ 
อนุมัติ	z a n u m a t^ 
อนุมาน	z a n u m aa n^ 
อนุมาน	z a n u m aa n^ 
อนุมานราชธน	z a n u m aa n^ r aa t^ ch a th o n^ 
อนุรักษ์	z a n u r a k^ 
อนุสรณ์	z a n u s @@ n^ 
อนุโลม	z a n u l oo m^ 
อบรม	z o p^ r o m^ 
อบอุ่น	z o p^ z u n^ 
อพยพ	z o p^ ph a j o p^ 
อภัย	z a ph a j^ 
อภัยทาน	z a ph a j^ j a th aa n^ 
อภัยธรรม	z a ph a j^ j a th a m^ 
อภัยวงศ์	z a ph a j^ w o ng^ 
อภิปราย	z a ph i pr aa j^ 
อม	z o m^ 
อมรวิวัฒน์	z a m @@ n^ w i w a t^ 
อมเรศ	z a m a r ee t^ 
อยาก	j aa k^ 
อยุติธรรม	z a j u t^ t i th a m^ 
อยู่	j uu 
อยู่ดี	j uu d ii 
อยู่ตัว	j uu t uua 
อยู่บำรุง	j uu b a m^ r u ng^ 
อยู่รอด	j uu r @@ t^ 
อย่า	j aa 
อย่าง	j aa ng^ 
อย่างยิ่ง	j aa ng^ j i ng^ 
อย่างหนึ่ง	j aa ng^ n v ng^ 
อย่างเช่น	j aa ng^ ch e n^ 
อย่างเดียว	j aa ng^ d iia w^ 
อย่างใด	j aa ng^ d a j^ 
อย่างไร	j aa ng^ r a j^ 
อย่างไรก็ดี	j aa ng^ r a j^ k @@ d ii 
อย่างไรก็ตาม	j aa ng^ r a j^ k @@ t aa m^ 
อรหันต์	z @@ r a h a n^ 
อริยบุคคล	z a r i j a b u k^ kh o n^ 
อริยสัจ	z a r i j a s a t^ 
อวัยวะ	z a w a j^ j a w a 
ออก	z @@ k^ 
ออกกำลัง	z @@ k^ k a m^ l a ng^ 
ออกกำลังกาย	z @@ k^ k a m^ l a ng^ k aa j^ 
ออกแบบ	z @@ k^ b xx p^ 
ออฟโฟร์	z @@ f^ f oo 
ออม	z @@ m^ 
ออมชอม	z @@ m^ ch @@ m^ 
อะตอม	z a t @ m^ 
อะไร	z a r a j^ 
อักษร	z a k^ s @@ n^ 
อักษรศาสตร์	z a k^ s @@ n^ s aa t^ 
อักษะ	z a k^ s a 
อักเสบ	z a k^ s ee p^ 
อังกฤษ	z a ng^ kr i t^ 
อังคาร	z a ng^ kh aa n^ 
อัจฉริยภาพ	z a t^ ch a r i j a ph aa p^ 
อัจฉริยะ	z a t^ ch a r i j a 
อัญชัน	z a n^ ch a n^ 
อัญมณี	z a n^ j a m a n ii 
อัด	z a t^ 
อัตตาธิปไตย	z a t^ t aa th i p^ p a t a j^ 
อัตภาพ	z a t^ t a ph aa p^ 
อัตรา	z a t^ tr aa 
อัตราส่วน	z a t^ tr aa s uua n^ 
อัตลักษณ์	z a t^ t a l a k^ 
อัตโนมัติ	z a t^ t a n oo m a t^ 
อัน	z a n^ 
อันดับ	z a n^ d a p^ 
อันตราย	z a n^ t a r aa j^ 
อันที่จริง	z a n^ th ii c i ng^ 
อันหนึ่ง	z a n^ n v ng^ 
อันหนึ่งอันเดียวกัน	z a n^ n v ng^ z a n^ d iia w^ k a n^ 
อันเดียว	z a n^ d iia w^ 
อันเดียวกัน	z a n^ d iia w^ k a n^ 
อันเนื่องมาจาก	z a n^ n vva ng^ m aa c aa k^ 
อับอาย	z a p^ z aa j^ 
อัปมงคล	z a p^ p a m o ng^ kh o n^ 
อัปยศ	z a p^ p a j o t^ 
อัลคาโปน	z a n^ kh aa p oo n^ 
อัศจรรย์	z a t^ s a c a n^ 
อา	z aa 
อากร	z aa k @@ n^ 
อาการ	z aa k aa n^ 
อาการนาม	z aa k aa n^ r a n aa m^ 
อากาศ	z aa k aa t^ 
อาคาร	z aa kh aa n^ 
อาคเนย์	z aa kh a n ee 
อาจ	z aa t^ 
อาจารย์	z aa c aa n^ 
อาชญากร	z aa t^ j aa k @@ n^ 
อาชญากรรม	z aa t^ ch a j aa k a m^ 
อาชญากรรม	z aa t^ j aa k a m^ 
อาชีพ	z aa ch ii p^ 
อาณัติ	z aa n a t^ 
อาณาจักร	z aa n aa c a k^ 
อาณานิคม	z aa n aa n i kh o m^ 
อาณาเขต	z aa n aa kh ee t^ 
อาตมา	z aa t^ t a m aa 
อาทร	z aa th @@ n^ 
อาทิ	z aa th i 
อาทิตย์	z aa th i t^ 
อานันท์	z aa n a n^ 
อาบน้ำ	z aa p^ n aa m^ 
อามิสทาน	z aa m i t^ s a th aa n^ 
อาย	z aa j^ 
อายตนะ	z aa j a t a n a 
อายัด	z aa j a t^ 
อายุ	z aa j u 
อายุขัย	z aa j u kh a j^ 
อารมณ์	z aa r o m^ 
อารยชน	z aa r a j a ch o n^ 
อารยธรรม	z aa r a j a th a m^ 
อาร์ตติสท์	z aa t^ t i s^ 
อาวุธ	z aa w u t^ 
อาวุโส	z aa w u s oo 
อาศัย	z aa s a j^ 
อาสา	z aa s aa 
อาสาสมัคร	z aa s aa s a m a k^ 
อาหว่า	z aa w aa 
อาหาร	z aa h aa n^ 
อาเซียน	z aa s iia n^ 
อำนวย	z a m^ n uua j^ 
อำนวยการ	z a m^ n uua j^ k aa n^ 
อำนาจ	z a m^ n aa t^ 
อำเภอ	z a m^ ph qq 
อิจฉา	z i t^ ch aa 
อิตาเลียน	z i t aa l iia n^ 
อิทธิพล	z i t^ th i ph o n^ 
อินเดีย	z i n^ d iia 
อินโดจีน	z i n^ d oo c ii n^ 
อินโดนีเซีย	z i n^ d oo n ii s iia 
อิรัก	z i r a k^ 
อิลิช	z i l i ch^ 
อิสระ	z i t^ s a r a 
อิสลาม	z i s a l aa m^ 
อิเล็กทรอนิกส์	z i l e k^ thr @@ n i k^ 
อิ่ม	z i m^ 
อีก	z ii k^ 
อีรี่	z ii r ii 
อีวาน	z ii w aa n^ 
อีสาน	z ii s aa n^ 
อึดอัด	z v t^ z a t^ 
อื่น	z vv n^ 
อื้อฉาว	z vv ch aa w^ 
อุณหภูมิ	z u n^ h a ph uu m^ 
อุดตัน	z u t^ t a n^ 
อุดม	z u d o m^ 
อุดมการณ์	z u d o m^ k aa n^ 
อุดมศึกษา	z u t^ d o m^ m a s v k^ s aa 
อุดมศึกษา	z u d o m^ m a s v k^ s aa 
อุดมศึกษา	z u d o m^ s v k^ s aa 
อุดมสมบูรณ์	z u d o m^ s o m^ b uu n^ 
อุดร	z u d @@ n^ 
อุดรธานี	z u d @@ n^ th aa n ii 
อุตสาหกรรม	z u t^ s aa h a k a m^ 
อุตสาหะ	z u t^ s aa h a 
อุทยาน	z u t^ th a j aa n^ 
อุทัย	z u th a j^ 
อุทาหรณ์	z u th aa h @@ n^ 
อุทิศ	z u th i t^ 
อุบัติเหตุ	z u b a t^ t i h ee t^ 
อุปกรณ์	z u p^ p a k @@ n^ 
อุปนิสัย	z u p^ p a n i s a j^ 
อุปสรรค	z u p^ p a s a k^ 
อุปโภค	z u p^ p a ph oo k^ 
อเนกชน	z a n ee k^ ch o n^ 
อเมริกัน	z a m ee r i k a n^ 
อเมริกา	z a m ee r i k aa 
อเล็กซานเดรีย	z a l e k^ s aa n^ dr iia 
อโลชา	z a l oo ch aa 
อโศก	z a s oo k^ 
อ่อน	z @@ n^ 
อ่อนหวาน	z @@ n^ w aa n^ 
อ่อนแอ	z @@ n^ z xx 
อ่อนโยน	z @@ n^ j oo n^ 
อ่าง	z aa ng^ 
อ่าน	z aa n^ 
อ่าว	z aa w^ 
อ้วน	z uua n^ 
อ้อม	z @@ m^ 
อ้าง	z aa ng^ 
อ้างอิง	z aa ng^ z i ng^ 
อ้าย	z aa j^ 
ฮอร์โมน	h @@ m oo n^ 
ฮินดู	h i n^ d uu 
ฮุสเซ็น	h u t^ s e n^ 
ฯพณฯ	ph a n a th a n^ 
เกณฑ์	k ee n^ 
เกรง	kr ee ng^ 
เกรงขาม	kr ee ng^ kh aa m^ 
เกรงอกเกรงใจ	kr ee ng^ z o k^ kr ee ng^ c a j^ 
เกรงใจ	kr ee ng^ c a j^ 
เกริกเกียรติ	kr qq k^ k iia t^ 
เกรียวกราว	kr iia w^ kr aa w^ 
เกลียด	kl iia t^ 
เกลียดชัง	kl iia t^ ch a ng^ 
เกลื่อนกลาด	kl vva n^ kl aa t^ 
เกษตร	k a s ee t^ 
เกษตรกร	k a s ee t^ tr a k @@ n^ 
เกษตรกรรม	k a s ee t^ tr a k a m^ 
เกษียณ	k a s iia n^ 
เกาหลีเหนือ	k a w^ l ii n vva 
เกาหลีใต้	k a w^ l ii t a j^ 
เกาะ	k @ 
เกิด	k qq t^ 
เกิน	k qq n^ 
เกียรติ	k iia t^ 
